"id","locode","locationname","locationtype","country","county","municipality","wkt","lon","lat"
2460560,NOSVG,"01N",Kai,NORGE,Rogaland,Randaberg,POINT(5.61956018297258 59.0226981340987),5.619560182972577,59.022698134098675
2460576,NOSVG,"01W",Kai,NORGE,Rogaland,Stavanger,POINT(5.73103479199881 58.9746113959702),5.731034791998809,58.974611395970186
2460782,,"02N",Kai,NORGE,Rogaland,Randaberg,POINT(5.61730045394484 59.0238876392722),5.617300453944836,59.023887639272175
2461736,NOSVG,"02W",Kai,NORGE,Rogaland,Stavanger,POINT(5.72975266491449 58.974339010795),5.729752664914486,58.974339010794964
2461737,NOSVG,"03W",Kai,NORGE,Rogaland,Stavanger,POINT(5.72921652893547 58.9738409031289),5.729216528935467,58.973840903128924
2460575,NOSVG,"04N",Kai,NORGE,Rogaland,Randaberg,POINT(5.61559268509143 59.0238447807311),5.61559268509143,59.0238447807311
2461738,NOSVG,"04W",Kai,NORGE,Rogaland,Stavanger,POINT(5.72914091903567 58.9733086628351),5.729140919035672,58.973308662835095
2460784,,"05W",Kai,NORGE,Rogaland,Stavanger,POINT(5.72948529383189 58.9724581751565),5.72948529383189,58.9724581751565
2461739,NOSVG,"06W",Kai,NORGE,Rogaland,Stavanger,POINT(5.73008626699448 58.9714546487567),5.730086266994476,58.97145464875674
2460785,,"15W",Kai,NORGE,Rogaland,Stavanger,POINT(5.72691052067944 58.9727556699105),5.726910520679439,58.97275566991052
2460786,,"16W",Kai,NORGE,Rogaland,Stavanger,POINT(5.72629206964825 58.9736292811423),5.726292069648252,58.97362928114225
2460787,,"17W",Kai,NORGE,Rogaland,Stavanger,POINT(5.72570510641071 58.9744617506294),5.7257051064107145,58.97446175062943
2460789,,"18W-N",Kai,NORGE,Rogaland,Stavanger,POINT(5.72349624197136 58.9759495046745),5.72349624197136,58.9759495046745
2460788,,"18W-S",Kai,NORGE,Rogaland,Stavanger,POINT(5.72495407626752 58.9751841690296),5.724954076267522,58.97518416902962
2460574,NOSVG,"19",Kai,NORGE,Rogaland,Sola,POINT(5.60423958073306 58.9246075037336),5.604239580733065,58.92460750373365
2460778,,"20",Kai,NORGE,Rogaland,Sola,POINT(5.60171753885106 58.9246512930379),5.601717538851062,58.92465129303793
2460551,NOSVG,"20E",Kai,NORGE,Rogaland,Stavanger,POINT(5.74258972941379 58.9724302299015),5.742589729413794,58.9724302299015
